"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"3",3,NA,"Atlético Madrid",2792,1343,648,801,"4812:3446",1366,4677,"Latest news »"
"4",4,NA,"Athletic Bilbao",2940,1265,695,980,"4829:3899",930,4490,"Latest news »"
"5",5,NA,"Valencia CF",2843,1257,672,914,"4651:3691",960,4443,"Latest news »"
"6",6,NA,"Sevilla FC",2587,1082,574,931,"3937:3563",374,3820,"Latest news »"
"7",7,NA,"Espanyol Barcelona",2767,987,650,1130,"3753:4074",-321,3611,"Latest news »"
"8",8,NA,"Real Sociedad",2480,936,622,922,"3481:3446",35,3430,"Latest news »"
"9",9,NA,"Real Zaragoza",1986,698,522,766,"2683:2847",-164,2616,"Latest news »"
"10",10,NA,"Real Betis",1906,679,479,748,"2412:2746",-334,2516,"Latest news »"
"11",11,NA,"Celta Vigo",1876,638,445,793,"2511:2881",-370,2359,"Latest news »"
"12",12,NA,"Deportivo La Coruña",1568,569,403,596,"2090:2269",-179,2110,"Latest news »"
"13",13,NA,"Real Valladolid",1580,487,426,667,"1863:2333",-470,1887,"Latest news »"
"14",14,NA,"Sporting Gijón",1458,471,358,629,"1753:2152",-399,1771,"Latest news »"
"15",15,NA,"CA Osasuna",1419,458,358,603,"1606:1966",-360,1732,"Latest news »"
"16",16,NA,"Racing Santander",1426,453,335,638,"1842:2365",-523,1693,"Latest news »"
"17",17,NA,"Málaga CF",1294,395,335,564,"1445:1828",-383,1517,"Latest news »"
"18",18,NA,"Real Oviedo",1192,408,292,492,"1642:1951",-309,1516,"Latest news »"
"19",19,NA,"UD Las Palmas",1134,372,249,513,"1371:1820",-449,1365,"Latest news »"
"20",20,NA,"RCD Mallorca",1052,348,270,434,"1245:1477",-232,1314,"Latest news »"
"21",21,NA,"Villarreal CF",825,338,221,266,"1168:1010",158,1235,"Latest news »"
"22",22,NA,"Granada CF",845,252,200,393,"946:1311",-365,956,"Latest news »"
"23",23,NA,"Elche CF",742,218,200,324,"812:1114",-302,854,"Latest news »"
"24",24,NA,"Getafe CF",635,206,168,261,"707:813",-106,786,"Latest news »"
"25",25,NA,"Rayo Vallecano",705,206,160,339,"829:1188",-359,778,"Latest news »"
"26",26,NA,"Hércules CF",628,184,149,295,"716:1050",-334,701,"Latest news »"
